Anlageschl;Einsatz-ID;Projektnummer;DSO Schlüssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entschädigungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E20793019000000000000021272260001;SHN201500000204;23678;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793019000000000000004288000004;SHN201500000204;3485;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne West.110/20.Umsp. 124;Schleswig-Holstein Netz
E20793014000000000000020599110007;SHN201510000203;11686;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793014000000000000021346480002;SHN201510000203;21466;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793014000000000000021160040002;SHN201510000203;17920;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793014000000000000020599110006;SHN201510000203;11686;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793014000000000000020599110002;SHN201510000203;11686;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793014000000000000020599110004;SHN201510000203;11686;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793014000000000000021113910002;SHN201510000203;18498;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793014000000000000020599110003;SHN201510000203;11686;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793014000000000000020599110005;SHN201510000203;11686;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793014000000000000021160040003;SHN201510000203;17920;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793018000000000000021153340002;SHN201510000204;19008;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793015000000000000021045120003;SHN201510000220;19749;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Quickborn;Schleswig-Holstein Netz
E20793015000000000000021258860002;SHN201510000220;20871;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Quickborn;Schleswig-Holstein Netz
E20793012000000000000017627580004;SHN201510000220;3905;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Quickborn;Schleswig-Holstein Netz
E20793015000000000000021045120002;SHN201510000220;19749;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Quickborn;Schleswig-Holstein Netz
E20793012000000000000017627580005;SHN201510000220;3905;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Quickborn;Schleswig-Holstein Netz
E20793012Z00000000000020767380002;SHN201510000220;13073;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Quickborn;Schleswig-Holstein Netz
E20793015000000000000021045120004;SHN201510000220;19749;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Quickborn;Schleswig-Holstein Netz
E20793019000000000000004288000003;SHN201500000204;3485;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793018X00000000000021126790001;SHN201410000205;13551;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne West.110/20.Trafo 125;Schleswig-Holstein Netz
E20793018000000000000020662250001;SHN201500000203;9137;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793018000000000000002875000005;SHN201500000203;3034;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793018000000000000002875000001;SHN201500000203;3034;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793018000000000000002875000004;SHN201500000203;3034;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793014000000000000021171230001;SHN201500000203;15575;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E2079304S120000000000027681200001;SHN201500000203;32291;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793018000000000000017552600001;SHN201500000203;2749;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793014000000000000020599110001;SHN201500000203;11686;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793019000000000000021469470001;SHN201500000203;13078;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793019000000000000020172520002;SHN201500000203;8524;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793019000000000000017664830001;SHN201500000203;3685;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793018000000000000021153340001;SHN201500000204;19008;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793018000000000000002855000002;SHN201500000204;2938;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E2079308S120000000000020923500001;SHN201500000204;24944;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793018000000000000002921000001;SHN201500000204;3037;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793018000000000000002875000002;SHN201500000203;3034;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793019000000000000020850990002;SHN201500000203;13832;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793014000000000000021185900001;SHN201500000203;19116;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793013000000000000003998000003;SHN201500000204;2769;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793019000000000000021272300001;SHN201500000204;23679;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793018000000000000002908000001;SHN201500000204;2773;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793013000000000000003998000002;SHN201500000204;2769;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
E20793019000000000000021267990001;SHN201500000203;23674;;Schleswig-Holstein Netz;10.01.2014;08:30:09;10.01.2014;08:58:01;000;EEG;Netzengpass;Marne;Schleswig-Holstein Netz
