Anlageschl;Einsatz-ID;Projektnummer;DSO Schl¸ssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entsch‰digungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E20793017000000000000020699330001;SHN201500003756;12296;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 122;Schleswig-Holstein Netz
E20793019000000000000001272240001;SHN201500003756;7249;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000004006000007;SHN201500003756;2298;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000002234000001;SHN201500003756;2087;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793010000000000000004169000004;SHN201500003756;2011;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E2079301EHA0000000000054004700001;SHN201500003756;39661;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019Y00000000000020439210002;SHN201500003756;11139;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793017000000000000021249450001;SHN201500003756;13411;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000004006000004;SHN201500003756;2298;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000002135000002;SHN201500003756;2257;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000004130000002;SHN201500003756;2471;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793010000000000000004169000001;SHN201500003756;2011;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000004006000003;SHN201500003756;2298;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000021052600001;SHN201500003756;18008;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000004256000001;SHN201500003756;2538;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000020439210001;SHN201500003756;11139;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000004130000001;SHN201500003756;2471;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000020996030001;SHN201500003756;14362;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000004006000006;SHN201500003756;2298;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793010000000000000004169000003;SHN201500003756;2011;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000004006000005;SHN201500003756;2298;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000002234000004;SHN201500003756;2087;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000002234000003;SHN201500003756;2087;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000004006000001;SHN201500003756;2298;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000002135000001;SHN201500003756;2257;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793010000000000000004169000002;SHN201500003756;2011;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000002234000002;SHN201500003756;2087;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000004006000008;SHN201500003756;2298;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000004006000002;SHN201500003756;2298;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000004256000002;SHN201500003756;2538;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793019000000000000004006000009;SHN201500003756;2298;;Schleswig-Holstein Netz;04.10.2014;14:50:51;04.10.2014;18:00:37;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E2079301S120000000000021164900001;SHN201410003757;11751;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000020924340001;SHN201410003757;33678;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000002226000001;SHN201410003757;2006;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E2079301EA01000000000064471600001;SHN201410003757;48941;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793010000000000000017774980002;SHN201410003757;6332;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
