Anlageschl;Einsatz-ID;Projektnummer;DSO Schl¸ssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entsch‰digungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E20793019000000000000002128000003;SHN201500004207;2001;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793019000000000000002128000004;SHN201500004207;2001;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793019000000000000002128000005;SHN201500004207;2001;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793019000000000000021126640001;SHN201500004207;14198;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA01000000000049808800001;SHN201500004207;32530;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA01000000000049808800002;SHN201500004207;32530;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA01000000000061167500001;SHN201500004207;26767;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA01000000000061167500002;SHN201500004207;26767;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA05000000000070079700005;SHN201500004207;36536;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301EA06000000000070079700006;SHN201500004207;36536;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
